City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current description,Rain inches(last 3 hrs),Snow inches(last 3 hrs)
68,East London,-33.0153,27.9116,71.62,75,0,17.22,ZA,2021-01-16 01:09:36,clear sky,0,0
69,Independence,39.0911,-94.4155,32.0,86,90,12.66,US,2021-01-16 01:05:00,light snow,0,0
70,Cape Town,-33.9258,18.4232,66.99,94,75,10.36,ZA,2021-01-16 01:08:45,light rain,0,0
71,Saint-Georges,12.0564,-61.7485,78.8,78,75,11.5,GD,2021-01-16 01:09:37,broken clouds,0,0
72,Sumbe,-11.2061,13.8437,73.53,84,25,8.03,AO,2021-01-16 01:09:37,scattered clouds,0,0
73,Ahipara,-35.1667,173.1667,72.63,51,47,6.51,NZ,2021-01-16 01:09:37,scattered clouds,0,0
74,Broken Hill,-31.95,141.4333,62.6,39,75,17.27,AU,2021-01-16 01:09:37,broken clouds,0,0
75,Yar-Sale,66.8333,70.8333,-2.04,92,100,5.91,RU,2021-01-16 01:09:37,overcast clouds,0,0
76,Morgan City,29.6994,-91.2068,52.0,40,1,10.36,US,2021-01-16 01:09:37,clear sky,0,0
77,Cholet,47.1667,-1.0,32.0,91,100,4.21,FR,2021-01-16 01:09:37,overcast clouds,0,0
78,Zilair,52.2332,57.4392,13.26,96,100,12.01,RU,2021-01-16 01:09:37,snow,0,0
79,Makhalino,53.0854,46.2211,16.43,97,100,1.66,RU,2021-01-16 01:09:37,light snow,0,0
80,Moss Vale,-34.55,150.3833,71.01,28,0,12.66,AU,2021-01-16 01:09:37,clear sky,0,0
81,Sanandaj,35.3144,46.9923,34.75,87,45,2.53,IR,2021-01-16 01:09:38,scattered clouds,0,0
82,Santa Isabel,-23.3156,-46.2214,68.0,94,40,5.75,BR,2021-01-16 01:09:38,light rain,0,0
83,Cabo San Lucas,22.8909,-109.9124,73.4,21,1,6.91,MX,2021-01-16 01:09:38,clear sky,0,0
84,Ugoofaaru,5.6667,73.0,80.78,72,30,13.06,MV,2021-01-16 01:09:38,scattered clouds,0,0
85,Werda,-25.2667,23.2833,76.6,57,99,9.91,BW,2021-01-16 01:09:38,overcast clouds,0,0
86,Georgetown,5.4112,100.3354,78.8,94,20,4.61,MY,2021-01-16 01:09:38,few clouds,0,0
87,Qujing,25.4833,103.7833,50.0,60,99,3.4,CN,2021-01-16 01:09:38,overcast clouds,0,0
88,Zhezkazgan,47.8043,67.7144,8.04,89,100,12.53,KZ,2021-01-16 01:09:38,overcast clouds,0,0
89,Puerto Ayora,-0.7393,-90.3518,75.0,92,100,4.0,EC,2021-01-16 01:09:38,overcast clouds,0,0
90,Saint George,37.1041,-113.5841,57.2,21,1,1.92,US,2021-01-16 01:05:15,clear sky,0,0
91,Acajutla,13.5928,-89.8275,82.4,61,20,5.75,SV,2021-01-16 01:09:38,few clouds,0,0
92,Mar Del Plata,-38.0023,-57.5575,72.0,78,0,6.91,AR,2021-01-16 01:05:20,clear sky,0,0
93,Kieta,-6.2167,155.6333,86.72,57,100,5.64,PG,2021-01-16 01:09:38,overcast clouds,0,0
94,Challapata,-18.9,-66.7667,52.12,66,100,7.0,BO,2021-01-16 01:09:39,light rain,0,0
95,Atuona,-9.8,-139.0333,77.61,76,7,12.28,PF,2021-01-16 01:09:39,clear sky,0,0
96,Yichun,47.7,128.9,-12.03,86,18,1.92,CN,2021-01-16 01:09:39,few clouds,0,0
97,Aljezur,37.3191,-8.8033,43.0,100,0,1.01,PT,2021-01-16 01:09:39,clear sky,0,0
98,Oksfjord,70.2396,22.3479,37.4,80,75,5.75,NO,2021-01-16 01:09:39,light snow,0,0
99,Greencastle,39.6445,-86.8647,34.0,86,75,3.44,US,2021-01-16 01:09:10,broken clouds,0,0
100,Richards Bay,-28.783,32.0377,77.43,88,90,12.62,ZA,2021-01-16 01:06:38,overcast clouds,0,0
101,Ubatuba,-23.4339,-45.0711,69.8,94,90,1.54,BR,2021-01-16 01:09:39,moderate rain,0,0
102,Samarai,-10.6167,150.6667,86.38,70,97,14.67,PG,2021-01-16 01:09:36,light rain,0,0
103,Barrow,71.2906,-156.7887,-9.4,70,90,17.27,US,2021-01-16 01:09:33,overcast clouds,0,0
104,Tamandare,-8.7597,-35.1047,76.51,80,100,7.67,BR,2021-01-16 01:09:39,overcast clouds,0,0
105,Ketchikan,55.3422,-131.6461,42.8,93,90,10.36,US,2021-01-16 01:05:40,light rain,0,0
106,Tura,25.5198,90.2201,53.51,54,0,1.97,IN,2021-01-16 01:09:39,clear sky,0,0
107,Nuuk,64.1835,-51.7216,23.0,63,75,5.32,GL,2021-01-16 01:06:11,broken clouds,0,0
108,Avarua,-21.2078,-159.775,86.0,70,20,10.36,CK,2021-01-16 01:09:40,few clouds,0,0
109,Saint-Pierre,-21.3393,55.4781,77.0,83,20,3.44,RE,2021-01-16 01:09:40,few clouds,0,0
110,La Ronge,55.1001,-105.2842,19.4,79,100,8.05,CA,2021-01-16 01:09:40,overcast clouds,0,0
111,Berlevag,70.8578,29.0864,35.67,88,100,21.72,NO,2021-01-16 01:09:40,light rain,0,0
112,Mount Gambier,-37.8333,140.7667,59.0,63,90,14.97,AU,2021-01-16 01:09:40,overcast clouds,0,0
113,Krasnoselkup,65.7,82.4667,-8.81,90,100,15.3,RU,2021-01-16 01:09:40,overcast clouds,0,0
114,Izumo,35.3667,132.7667,48.2,93,75,5.75,JP,2021-01-16 01:09:40,broken clouds,0,0
115,Thompson,55.7435,-97.8558,5.0,85,75,5.75,CA,2021-01-16 01:08:54,broken clouds,0,0
116,Bredasdorp,-34.5322,20.0403,64.4,72,0,9.22,ZA,2021-01-16 01:09:40,clear sky,0,0
117,New Norfolk,-42.7826,147.0587,64.0,56,50,5.01,AU,2021-01-16 01:09:41,scattered clouds,0,0
118,Ilulissat,69.2167,-51.1,15.8,62,75,9.22,GL,2021-01-16 01:09:41,broken clouds,0,0
119,Coahuayana,18.7333,-103.6833,75.2,50,40,1.39,MX,2021-01-16 01:09:41,scattered clouds,0,0
120,Ucluelet,48.9329,-125.5528,48.2,93,90,2.3,CA,2021-01-16 01:07:47,overcast clouds,0,0
121,Aksarka,66.5606,67.7975,-4.79,92,100,3.69,RU,2021-01-16 01:09:41,overcast clouds,0,0
122,San Quintin,30.4833,-115.95,67.86,35,0,2.28,MX,2021-01-16 01:09:41,clear sky,0,0
123,Saskylakh,71.9167,114.0833,-17.39,86,100,14.81,RU,2021-01-16 01:09:41,overcast clouds,0,0
124,Khatanga,71.9667,102.5,-44.72,78,25,3.2,RU,2021-01-16 01:09:35,scattered clouds,0,0
125,Maldonado,-34.6667,-54.9167,78.01,83,90,11.5,UY,2021-01-16 01:09:41,heavy intensity rain,0,0
126,Lima,-12.0432,-77.0282,69.8,83,0,12.66,PE,2021-01-16 01:05:39,clear sky,0,0
127,Manokwari,-0.8667,134.0833,84.15,69,100,4.16,ID,2021-01-16 01:09:42,overcast clouds,0,0
128,Rudbar,30.15,62.6,47.88,39,0,4.83,AF,2021-01-16 01:09:42,clear sky,0,0
129,Neuquen,-38.9516,-68.0591,66.2,34,0,8.05,AR,2021-01-16 01:09:42,clear sky,0,0
130,Bengkulu,-3.8004,102.2655,77.92,75,93,3.8,ID,2021-01-16 01:09:33,overcast clouds,0,0
131,San Alfonso,7.7803,126.4203,82.87,72,100,2.53,PH,2021-01-16 01:09:42,light rain,0,0
132,Dukat,62.55,155.55,-35.36,80,91,2.73,RU,2021-01-16 01:09:42,overcast clouds,0,0
133,Port Elizabeth,-33.918,25.5701,68.0,73,20,26.46,ZA,2021-01-16 01:09:42,light rain,0,0
134,Santa Cruz De La Palma,28.6835,-17.7642,62.6,55,90,12.66,ES,2021-01-16 01:09:42,overcast clouds,0,0
135,Kaseda,31.4167,130.3167,60.8,77,20,12.66,JP,2021-01-16 01:09:43,few clouds,0,0
136,Huancabamba,-5.2386,-79.4506,59.34,82,100,1.48,PE,2021-01-16 01:09:43,overcast clouds,0,0
137,Kushima,31.4583,131.2333,60.8,77,20,12.66,JP,2021-01-16 01:09:43,few clouds,0,0
138,Camopi,3.1655,-52.3158,72.27,98,100,2.59,GF,2021-01-16 01:09:43,overcast clouds,0,0
139,Castro,-24.7911,-50.0119,63.77,96,40,7.67,BR,2021-01-16 01:09:43,scattered clouds,0,0
140,San Cristobal,7.7669,-72.225,66.9,88,98,1.86,VE,2021-01-16 01:08:36,light rain,0,0
141,Yellowknife,62.456,-114.3525,10.4,85,90,17.27,CA,2021-01-16 01:09:43,snow,0,0
142,Marsaxlokk,35.8419,14.5431,55.0,82,20,29.93,MT,2021-01-16 01:09:43,few clouds,0,0
