City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
240,Yatou,CN,2021-01-15 23:50:16,37.15,122.3833,22.57,88,0,16.87
241,Havre-Saint-Pierre,CA,2021-01-15 23:50:16,50.2334,-63.5986,23.0,93,90,2.3
242,Nelson Bay,AU,2021-01-15 23:50:16,-32.7167,152.15,75.0,21,0,17.27
243,Andenes,NO,2021-01-15 23:50:16,69.3143,16.1194,37.4,87,75,18.41
244,Celestun,MX,2021-01-15 23:50:16,20.8667,-90.4,72.3,72,76,9.89
245,Isangel,VU,2021-01-15 23:50:17,-19.55,169.2667,81.81,80,100,8.25
246,Talnakh,RU,2021-01-15 23:48:14,69.4865,88.3972,-35.84,73,0,7.14
247,Muros,ES,2021-01-15 23:50:17,42.7762,-9.0603,37.0,94,28,1.01
248,Astana,KZ,2021-01-15 23:48:05,51.1801,71.446,-0.4,71,0,6.71
249,Ponta Do Sol,PT,2021-01-15 23:50:17,32.6667,-17.1,53.01,65,14,1.99
250,Kingman,US,2021-01-15 23:49:44,35.1894,-114.053,64.4,14,1,10.36
251,Homer,US,2021-01-15 23:50:17,59.6425,-151.5483,36.0,80,40,6.91
252,Champerico,GT,2021-01-15 23:50:17,14.3,-91.9167,86.0,66,40,6.91
253,Bialogard,PL,2021-01-15 23:49:27,54.007,15.9875,28.99,73,96,6.31
254,Tomatlan,MX,2021-01-15 23:50:17,19.9333,-105.25,83.97,29,78,6.35
255,Maniitsoq,GL,2021-01-15 23:50:17,65.4167,-52.9,18.18,85,88,6.29
256,Margate,GB,2021-01-15 23:50:18,51.3813,1.3862,35.01,80,93,7.85
257,George Town,MY,2021-01-15 23:50:18,5.4112,100.3354,78.01,94,20,5.75
258,Parkersburg,US,2021-01-15 23:50:18,39.2667,-81.5615,35.6,80,1,3.44
259,Ust-Maya,RU,2021-01-15 23:50:18,60.4167,134.5333,-43.83,79,85,1.23
260,Zhigalovo,RU,2021-01-15 23:50:18,54.8097,105.1578,-7.19,87,100,5.48
261,Sao Filipe,CV,2021-01-15 23:50:18,14.8961,-24.4956,72.46,70,100,11.39
262,Temiscaming,CA,2021-01-15 23:50:18,46.7212,-79.0971,33.8,80,100,4.61
263,Lebanon,US,2021-01-15 23:50:19,36.2081,-86.2911,43.0,36,90,6.91
264,Ternate,ID,2021-01-15 23:50:19,0.8,127.4,81.73,82,78,15.52
265,Mindelo,CV,2021-01-15 23:50:19,16.8901,-24.9804,69.8,64,40,28.77
266,Upernavik,GL,2021-01-15 23:50:19,72.7868,-56.1549,14.16,95,99,5.64
267,Namatanai,PG,2021-01-15 23:50:19,-3.6667,152.4333,84.85,65,100,4.7
268,Egvekinot,RU,2021-01-15 23:48:32,66.3167,-179.1667,-7.69,90,100,16.53
269,Peniche,PT,2021-01-15 23:46:04,39.3558,-9.3811,50.0,94,0,11.41
270,Havelock,US,2021-01-15 23:50:19,34.8791,-76.9013,54.0,71,1,6.91
271,Mitu,CO,2021-01-15 23:50:15,1.1983,-70.1733,74.08,96,97,2.17
272,Qaanaaq,GL,2021-01-15 23:50:20,77.484,-69.3632,8.31,92,96,2.84
273,Cap Malheureux,MU,2021-01-15 23:50:20,-19.9842,57.6142,80.01,84,1,5.01
274,Tautira,PF,2021-01-15 23:50:20,-17.7333,-149.15,80.6,74,75,6.91
275,Geraldton,AU,2021-01-15 23:50:20,-28.7667,114.6,84.2,39,1,28.77
276,Twin Falls,US,2021-01-15 23:50:20,42.3505,-114.6445,39.99,65,1,3.44
277,Longyearbyen,SJ,2021-01-15 23:50:20,78.2186,15.6401,15.8,92,75,8.05
278,Khatanga,RU,2021-01-15 23:46:51,71.9667,102.5,-45.33,77,33,3.2
279,Magistralnyy,RU,2021-01-15 23:50:20,56.1725,107.4458,-11.25,85,100,5.91
280,Victoria,HK,2021-01-15 23:48:46,22.2855,114.1577,63.0,54,13,10.98
281,Tecoanapa,MX,2021-01-15 23:50:20,16.5167,-98.75,80.08,72,83,4.56
282,Mirabad,AF,2021-01-15 23:50:20,30.4362,61.8383,44.13,44,48,3.83
283,Cururupu,BR,2021-01-15 23:49:55,-1.8283,-44.8683,75.58,90,44,3.51
284,Clyde River,CA,2021-01-15 23:50:21,70.4692,-68.5914,-0.4,92,90,2.3
285,Guamuchil,MX,2021-01-15 23:50:21,25.4667,-108.1,78.01,56,0,4.0
286,Sergeyevka,KZ,2021-01-15 23:50:21,53.88,67.4158,13.28,92,98,9.04
287,Teya,RU,2021-01-15 23:50:21,60.3778,92.6267,-9.96,87,100,4.16
288,Misratah,LY,2021-01-15 23:46:33,32.3754,15.0925,57.74,65,50,17.49
289,Leh,IN,2021-01-15 23:50:21,34.1667,77.5833,12.42,58,0,2.39
290,Kem,RU,2021-01-15 23:50:21,64.9555,34.5793,1.2,94,45,4.74
291,Biak,ID,2021-01-15 23:50:21,-0.9131,122.8766,80.08,77,100,2.1
292,Mackenzie,CA,2021-01-15 23:50:22,55.2999,-123.1698,35.6,75,1,16.11
