City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
652,Byron Bay,AU,80.01,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
655,Inhambane,MZ,81.05,light rain,-23.865,35.3833,Oceano
656,Matadi,CD,74.12,overcast clouds,-5.8167,13.45,Hotel Fortune
660,Cobija,BO,74.17,overcast clouds,-11.0267,-68.7692,Hotel Obelisco
661,Santa Rosa,PH,82.99,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
662,Intipuca,SV,76.84,overcast clouds,13.1969,-88.0544,Tropiclub Playa El Cuco
663,Ouesso,CG,74.19,scattered clouds,1.6136,16.0517,Hôtel ABENI
664,Salinopolis,BR,79.32,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
666,Sombrio,BR,74.01,clear sky,-29.1139,-49.6167,Santa Rosa Do Sul
667,Kilindoni,TZ,79.75,overcast clouds,-7.9139,39.6668,Bustani B&B
671,Carutapera,BR,77.85,clear sky,-1.195,-46.02,Lidera
672,Gweta,BW,73.4,overcast clouds,-20.1833,25.2333,Gweta Lodge
675,Sola,VU,83.21,moderate rain,-13.8833,167.55,Leumerus Bungalows
678,Metro,ID,78.8,light rain,-5.1131,105.3067,OYO 3177 Wisma Lintang
686,Bull Savanna,JM,72.55,broken clouds,17.8868,-77.5902,Big Red's
690,Alyangula,AU,87.8,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
691,Pandan,PH,78.71,moderate rain,14.0453,124.1694,Bonifacio Lodge
696,Nisia Floresta,BR,80.6,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
699,Imbituba,BR,77.0,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
705,Santarem,BR,75.2,clear sky,-2.4431,-54.7083,Hotel Imperador
706,Jacareacanga,BR,74.39,light rain,-6.2222,-57.7528,Casa do Ian😎
707,Luba,GQ,75.2,few clouds,3.4568,8.5547,
712,Caravelas,BR,74.93,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
714,Oriximina,BR,80.35,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
720,Boyolangu,ID,80.29,light rain,-8.1181,111.8935,Yos ega cv
